0.8126;8.6912
1.0788666666666666;8.632
1.4700666666666666;13.020466666666668
1.6742;2.6194
2154.0178;54.1227
115.2611;3500.9956
575.0659;4.6321
128.2371;7.5162
292.2455;5.8476
248.059;4.1173
274.4553;3.1156
394.7635;4.0126
465.059;4.7701
188.0151;5.6167
201.5453;5.2855
136.8292;3.6354
191.7277;3.5795
263.0388;2.8283
127.6436;1.5553
140.3812;2.0397
273.4215;2.6245
340.2579;3.2771
1.621;1.5945
159.2658;3.1959
366.3893;5.5429
150.0937;0.9461
220.7691;5.0845
292.2142;4.636
366.0317;2.7935
256.5411;2.0026
363.7373;3.1973
290.1347;4.6631
2.7597;2.1028
284.0498;3.0844
161.0913;5.2086
237.2763;9.0277
159.0697;3.0911
206.5642;11.4293
152.4529;3.6567
292.6139;2.9221
194.3182;5.145
346.9886;3.5052
102.5544;0.9822
443.3921;3.9148
410.4539;3.1194
237.0265;3.4439
338.0312;3.3211
281.0322;6.1505
339.0897;3.3996
300.6162;5.7504
266.3333;3.455
319.7863;2.1139
309.5863;5.9988
165.7655;4.3549
285.9453;4.2568
152.1631;4.6774
462.7851;5.1027
562.5574;7.1764
526.3793;7.4882
565.4468;6.1285
546.5961;5.9265
397.6681;6.3592
606.6253;6.0803
555.3341;5.6429
616.0818;6.7263
499.6825;7.1541
240.6589;5.479
258.3295;6.2535
374.8195;6.0285
519.8657;7.6408
502.3649;8.6031
163.6659;7.0151
477.5483;6.9722
555.2971;12.9739
434.2724;6.1369
320.8535;5.7769
416.8139;6.0955
364.5517;7.3437
250.3615;5.3602
78.5604;4.1275
621.3158;8.5442
440.8047;6.7382
482.7053;6.8851
427.7697;6.5837
456.6651;6.5199
524.7426;7.1421
418.9744;6.2455
506.4979;8.4763
510.6915;6.4982
530.5407;7.4254
567.2274;9.424
559.9165;6.326
383.4797;7.4053
429.0337;6.0883
438.4735;5.8429
229.5689;6.9051
507.0346;5.4356
307.9681;5.1525
491.939;7.9835
380.2127;7.3566
387.661;5.0977
526.2521;6.2152
274.1747;5.3363
411.5696;4.9849
210.7934;4.549
353.2355;5.3626
130.017;4.4215
345.9629;6.5126
586.2593;6.462
398.5683;6.61
588.7833;10.5375
243.7711;5.1271
154.1459;7.2687
311.9254;7.1325
173.5577;7.6735
169.4769;4.7663
145.8257;9.8185
146.0582;4.6829
269.3839;5.5019
427.7838;7.1157
350.2479;5.1405
297.857;6.6343
353.261;5.885
415.9983;7.8543
